label,drug,n,active
38,CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,-14.11829313026155,0
174,CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)O)C(C)(C)O,-13.98272845055935,0
65,C1=NC2=C(N=C(N=C2N1C3C(C(C(O3)COP(=O)(O)O)O)O)F)N,-13.92863655484765,0
420,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,-13.87479008870115,0
233,CC1(C(=O)N(C(=O)O1)C)C,-13.8692551326378,0
67,CC1(OC2CC3C4CCC5=CC(=O)CCC5(C4(C(CC3(C2(O1)C(=O)CCl)C)O)F)C)C,-13.7994334083764,0
240,CC1=CC=CC=C1OC(CCNC)C2=CC=CC=C2.Cl,-13.751366383642651,0
171,CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)C,-13.648788558554099,0
312,CC12CCC3C(C1CCC2(C#C)O)CCC4=CC(=O)CCC34,-13.5455379740619,0
22,CCOC(=O)C(CCC1=CC=CC=C1)NC2CCC3=CC=CC=C3N(C2=O)CC(=O)O.Cl,-13.473902664882399,0
193,COC1=CC(=CC(=C1O)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)OC6C(C(C7C(O6)COC(O7)C8=CC=CS8)O)O,-13.40197881230215,0
35,CC1(C(=O)N(C(=O)N1)C2=CC(=C(C=C2)[N+](=O)[O-])C(F)(F)F)C,-13.3158163357581,0
200,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,-13.284206196325599,0
4,CC1=CC(=CC(=C1)OCC2CNC(=O)O2)C,-13.215505493431547,0
230,C[N+](C)(C)CC(CC(=O)[O-])O,-13.2054793626546,0
111,CC1=CC=C(C=C1)S(=O)(=O)O.CC1=CC=C(C=C1)S(=O)(=O)O.CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl,-12.996408882390506,0
24,CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4,-12.99075010207445,0
78,CC(C)OC(=O)CCCC=CCC1C(CC(C1CCC(CCC2=CC=CC=C2)O)O)O,-12.86639092063575,0
6,CC(C)N1C2=CC=CC=C2C(=C1C=CC(CC(CC(=O)[O-])O)O)C3=CC=C(C=C3)F.[Na+],-12.8441919301711,0
136,C1CCC(CC1)(CC(=O)O)CN,-12.84138279353045,0
7,CC(=O)OC1=CC=CC=C1C(=O)NC2=NC=C(S2)[N+](=O)[O-],-12.820233954351298,0
214,C1CN=C(N1)NC2=C(C=CC3=NSN=C32)Cl.Cl,-12.81581251489475,0
122,CC1=C(C=C(C(=O)N1)C#N)C2=CC=NC=C2,-12.7993055049008,0
259,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,-12.770473741812499,0
25,C(CN)CNCCSP(=O)(O)O,-12.73498357760905,0
